P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
1,0,1,0,-1.57,-14.12,-2.78,4.34,-10.05,3.07,137,4
1,0,1,0,1.08,-15.37,1.59,0.1,-8.65,-3.71,136,4
0,0,1,0,4.89,-4.16,4.67,1.04,-9.18,-0.25,136,4
0,0,1,0,-1.04,-5.16,-1.73,0.94,-9.29,1.42,137,4
0,0,1,1,8.16,-6.79,10.53,1.14,-9.49,-1.2,137,1
0,0,1,1,-0.23,-8.22,4.37,0.69,-9.41,-0.15,127,1
0,0,1,1,3.57,-7.81,10.78,-5.22,-9.32,6.35,121,1
0,0,1,1,1.14,-7.93,-4.42,4.62,-9.48,2.61,113,1
0,0,1,1,2.21,-8.96,4.74,-0.84,-9.49,-1.58,99,2
0,0,1,1,0.31,-7.77,2.85,-0.8,-9.08,0.66,98,2
0,0,1,1,-0.84,-9.19,1.45,-1.5,-9.13,-0.33,99,2
0,0,1,1,-1,-10.85,3.34,-0.2,-9.78,0.48,98,2
0,0,1,1,2.71,-13.31,-6.41,-0.96,-9.76,-1.18,99,2
0,0,0,1,0.74,-10.64,0.16,-0.29,-10.01,2.04,99,2
0,1,0,1,-1.64,-10.66,-2.54,-7.18,-8.7,-2.25,107,2
0,1,0,1,-0.96,-10.34,-1.64,1.77,-14.7,-5.64,140,2
1,1,0,0,-0.49,-9.62,0.39,4.84,-12.36,3.83,230,2
1,1,0,0,-0.17,-10.12,0.5,1.7,-5.84,8.78,307,2
1,1,0,0,-0.91,-9.72,-1.08,2.55,-5.04,0.7,356,3
1,1,0,0,-5.31,-7.23,-4.63,-5.46,-9,0.74,364,3
1,1,0,0,-5.42,-10.41,-3.05,-9.8,-13.02,0.34,364,3
1,1,0,0,-2.82,-9.62,-0.61,-3.52,-7.78,1.42,364,4
1,1,0,0,1.51,-9.71,0.89,-1.12,-7.02,1.73,362,4
1,1,0,0,0.56,-10.11,3.77,-0.99,-9.7,-0.48,309,4
1,1,0,0,-1.19,-10.2,1.68,-1.27,-10.86,2.23,243,4
1,1,0,0,-0.24,-10,4.8,1.7,-8.22,-2.71,161,4
1,0,1,0,-0.93,-11.02,0.42,-1.92,-11.12,-1.11,138,4
1,0,1,0,-0.79,-11.29,-0.06,5.86,-12.3,-0.15,137,4
1,0,1,0,-0.57,-11.8,1.51,1.3,-9.68,0.47,137,4
